cytoband	13q14.3	14q21.2	22q13.32	10q21.2	8p23.2	16q23.3	8q24.22	10q23.31	22q13.1	8p12	4q34.3	10p12.31	8p22	7q34	21q21.1	18q21.33	2q22.1	15q25.3	13q12.3	5p15.2	20p12.1	19p13.12	1q42.13	2q37.3	19p13.2	2p23.1	7q22.3	5p13.1	9p21.3	17p13.1	Xq28	7p22.1	9q22.33	
							UBR5	MARCH5																LINC00471	THEG			BRIX1	CDC37L1	GRAP	GRPR	RN7SL496P	CDC37L1	
							FAM49B	DNAJB12																DAW1	ZBTB7A			C1QTNF3	CARM1P1	FAM83G	SNORA7|ENSG00000200620.1	LINC00265	CARM1P1	
							AZIN1	CNNM2																C2orf57	SIRT6			MIR579	RN7SL592P	RN7SL627P	CA5BP1	SNORA20|ENSG00000206947.1	RN7SL592P	
							OTUD6B	WBP1L																TIGD1	LSM7			snoU13|ENSG00000238864.1	RNA5SP279	ZNF286B	RAB9A	RN7SL83P	RNA5SP279	
							GDAP1	CRTAC1																CCDC108	ZNF44			RN7SKP207	RN7SL412P	TBC1D28	TCEANC	TRGV1	RN7SL412P	
							PDP1	CEP55																C2orf72	MBD3			SNORA18|ENSG00000252601.1	FAM138C	RN7SL639P	RN7SKP20	TRGV2	FAM138C	
							CNGB3	LRRC20																RUFY4	S1PR5			SNORD29	ABCA1	KRT16P1	7SK|ENSG00000271814.1	TRGV3	ABCA1	
							ESRP1	CWF19L1																DUSP28	MIER2			SNORA40|ENSG00000252083.1	ABCA2	KRT17P2	MIR548AX	TRGV4	ABCA2	
							IMPAD1	SLC29A3																MROH2A	PCSK4			C5orf17	ABL1	SMCR8	RNA5SP499	TRGV5	ABL1	
							TMEM70	RNLS																ESPNL	ZNF562			RN7SL572P	ACO1	snoU13|ENSG00000238691.1	SNORA31|ENSG00000252291.1	TRGV8	ACO1	
							TRMT12	PI4K2A																C2orf62	BEST2			GUSBP1	PLIN2	MIR33B	SNORA20|ENSG00000201660.1	TRGV9	PLIN2	
							OXR1	H2AFY2																AQP12A	FBXL12			snoU13|ENSG00000238674.1	AK1	SMCR5	SNORA48|ENSG00000212214.1	TRGV10	AK1	
							WDYHV1	RUFY2																KLHL30	CC2D1A			RN7SL58P	ALAD	SMCR2	RN7SL578P	TRGV11	ALAD	
							ARMC1	FAM178A																RESP18	PLEKHJ1			SNORD81|ENSG00000212278.1	ALDH1A1	RN7SL775P	snoU13|ENSG00000251848.1	TRGJP1	ALDH1A1	
							UBE2W	CCAR1																C2orf82	C19orf66			FTH1P10	ALDH1B1	TBC1D27	LINC00102|ENSG00000230542.1	TRGJP	ALDH1B1	
							TMEM55A	DNAJC12																OR6B2	FEM1A			RN7SKP133	ALDOB	KRT17P1	CD99P1|ENSG00000223773.2	TRGJ1	ALDOB	
							CHD7	C10orf2																ASB18	ZNF823			RNA5SP180	AMBP	KRT16P2	LINC00106|ENSG00000236871.2	TRGC1	AMBP	
							SYBU	SAR1A																MIR375	STAP2			RNA5SP179	ANXA1	USP32P1	SLC25A6|ENSG00000169100.8	TRGJP2	ANXA1	
							INTS8	TM9SF3																PRR21	TRMT1			RNA5SP178	NUDT2	RN7SL620P	RN7SL355P|ENSG00000265350.1	TRGJ2	NUDT2	
							PAG1	ZMIZ1																PRSS56	BTBD2			MIR887	APBA1	ZNF287	RNA5SP498|ENSG00000223274.1	TRGC2	APBA1	
							GSDMC	AS3MT																AQP12B	RNF126			U8|ENSG00000202269.1	AQP3	MIR1288	MIR3690|ENSG00000265658.1	SNORA51|ENSG00000200113.1	AQP3	
							C8orf44	STAMBPL1																D2HGDH	CCDC94			MIR4637	AQP7	RN7SL442P	LINC00685|ENSG00000226179.1	snoU13|ENSG00000238772.1	AQP7	
							JPH1	SEMA4G																MIR1471	ASF1B			FAM105A	ASS1	RNA5SP436	PLCXD1|ENSG00000182378.8	MIR1200	ASS1	
							ENY2	MYOZ1																MIR4268	C19orf80			CT49	AUH	ZNF286A	ABCB7	PP13004	AUH	
							CPA6	AVPI1																MIR3132	C19orf10			ANKRD33B	BAAT	SNORA74|ENSG00000252129.1	AGTR2	SEPT7	BAAT	
							ZFAT	CDH23																MIR4269	PPAN			CMBL	BAG1	CDRT1	ALAS2	DPY19L2P1	BAG1	
							PRDM14	PBLD																MIR4786	RETN			FAM173B	KLF9	RN7SL792P	ABCD1	MIR548N	KLF9	
							SNX16	C10orf54																MIR5001	NCLN			RNA5SP177	C5	MIR4731	AMELX	SNORA31|ENSG00000251802.1	C5	
							NECAB1	MMS19																MIR5702	GPR108			SNORD123	C8G	snoU13|ENSG00000238806.1	SLC25A5	RN7SL132P	C8G	
							DEPTOR	NOC3L																MIR5703	DUS3L			MIR4636	CA9	CDRT8	XIAP	RNA5SP229	CA9	
							ZBTB10	CUEDC2																	XAB2			RNA5SP176	CACNA1B	CDRT7	SHROOM2	snoU13|ENSG00000252706.1	CACNA1B	
							DSCC1	DDX50																	SHD			RN7SKP79	CCIN	HS3ST3B1	AR	RN7SL505P	CCIN	
							DERL1	FBXL15																	RGL3			UBE2QL1	CCBL1	CDRT15	ARAF	RP9P	CCBL1	
							CHCHD7	C10orf76																	SLC44A2			RN7SKP73	ENTPD2	SNORA74|ENSG00000252305.1	ARHGAP4	SNORA31|ENSG00000251999.1	ENTPD2	
							PLEKHF2	HPS6																	MCOLN1			NDUFS6	CD72	MIR548H3	ARHGAP6	AQP1	CD72	
							ZFAND1	MMRN2																	WDR18			SDHAP3	CDK9	RN7SL550P	ARR3	CRHR2	CDK9	
							ZFHX4	TMEM180																	REXO1			MIR4635	CDKN2A	MIR744	STS	MIR550A1	CDKN2A	
							CSPP1	SYNPO2L																	DOCK6			ZDHHC11B	CDKN2B	RPL21P122	ARSD	snoU13|ENSG00000238906.1	CDKN2B	
							BAALC	C10orf95																	CAMSAP3			CCDC127	CEL	RN7SL601P	ARSE	TRIL	CEL	
							GRHL2	PDZD7																	ZNF317			LRRC14B	CKS2	LINC00675	ARSF	RN7SL365P	CKS2	
							VCPIP1	UBTD1																	ZNF77			PLEKHG4B	CLTA	MAGOH2	ASMT|ENSG00000196433.6	EVX1	CLTA	
							SLC25A32	TMEM254																	CACTIN			ADCY2	CNTFR	ADPRM	ATP2B3	HOTTIP	CNTFR	
							DCSTAMP	HKDC1																	UBL5			ADRB2	COL5A1	RCVRN	ATP6AP1	HOXA13	COL5A1	
							SLCO5A1	TET1																	CELF5			ANXA6	COL15A1	GLP2R	ATP7A	HOTAIRM1	COL15A1	
							CRISPLD1	TNKS2																	KRI1			APC	SLC31A1	STX8	ATRX	U3|ENSG00000202233.1	SLC31A1	
							TRAPPC9	TRIM8																	ZSWIM4			TRIM23	SLC31A2	RN7SL129P	AVPR2	CYCS	SLC31A2	
							TATDN1	TSPAN14																	YIPF2			ARSB	CRAT	SNORA69|ENSG00000212206.1	BGN	snoU13|ENSG00000239098.1	CRAT	
							NCALD	SFXN3																	C19orf43			ATOX1	CTSL	CTC1	BMX	RNA5SP228	CTSL	
							UTP23	SLC25A28																	SLC25A23			ALDH7A1	CYLC2	MIR3676	BRS3	snoU13|ENSG00000238849.1	CYLC2	
							TRIM55	ELOVL3																	ZNF426			BHMT	DAPK1	SNORD118	BTK	SNORD65|ENSG00000212264.1	DAPK1	
							C8orf76	MARVELD1																	C19orf57			BNIP1	DBC1	TMEM107	CACNA1F	MALSU1	DBC1	
							NUDCD1	C10orf11																	FSD1			BTF3	DBH	snoU13|ENSG00000238676.1	S100G	SNORD93	DBH	
							FAM83A	PCGF6																	ZNF557			C6	SARDH	SCARNA21|ENSG00000252835.1	CAPN6	RNA5SP227	SARDH	
							LRRCC1	LOXL4																	CERS4			C7	DNM1	RPL29P2	CD40LG	MIR1183	DNM1	
							TSPYL5	ZDHHC16																	TLE6			C9	DMRT1	snoU13|ENSG00000251860.1	CDR1	RN7SL542P	DMRT1	
							DNAJC5B	FAM213A																	PODNL1			CAMK2A	ECM2	SNORD10	CHM	SP8	ECM2	
							PSKH2	DYDC2																	LPPR3			CAMLG	TOR1A	SNORA48|ENSG00000209582.1	CLCN4	SNORD56|ENSG00000200753.1	TOR1A	
							FAM110B	PCGF5																	DENND1C			CANX	LPAR1	SNORA67|ENSG00000264772.2	CLCN5	MIR3146	LPAR1	
							MED30	LZTS2																	ZNF442			CAST	S1PR3	SLC35G6	CLIC2	RN7SKP266	S1PR3	
							TMEM67	LCOR																	ZNF556			CCNB1	MEGF9	GABARAP	CNGA2	SNORA63|ENSG00000199473.1	MEGF9	
							MTDH	MRPL43																	LRRC8E			CCNG1	ELAVL2	ALOX12P2	COL4A5	ISPD	ELAVL2	
							CHMP4C	PLA2G12B																	UBXN6			CCNH	ENDOG	TEKT1	COL4A6	RN7SKP228	ENDOG	
							PKHD1L1	MYPN																	CCDC130			CD14	ENG	C17orf100	CSF2RA|ENSG00000198223.9	SNORA64|ENSG00000199470.1	ENG	
							TBC1D31	PYROXD2																	ACSBG2			CD74	STOM	RNA5SP435	CSTF2	TMEM106B	STOM	
							TP53INP1	USMG5																	ADAMTS10			CDC25C	FANCC	DERL2	CTAG1B	U3|ENSG00000212422.1	FANCC	
							TGS1	ZNF503																	QTRT1			CDH6	FANCG	RN7SL784P	TEX28	RPA3	FANCG	
							MAL2	AIFM2																	ABHD17A			CDH9	FBP1	RN7SL171P	CYBB	PMS2CL	FBP1	
							CSMD3	ADO																	DOHH			CDH10	FKTN	SPNS2	CYLC1	GRID2IP	FKTN	
							FBXO32	ATAD1																	RTBDN			CDH12	FCN1	RN7SL774P	DCX	FLJ20306	FCN1	
							SLC26A7	ARHGAP19																	ANGPTL6			CDH18	FCN2	snoU13|ENSG00000238807.1	DDX3X	RN7SL851P	FCN2	
							CTHRC1	MCU																	KLF16			CDK7	FOXD4	RNA5SP434	TIMM8A	SNORA42|ENSG00000207217.1	FOXD4	
							OSR2	CDHR1																	PRAM1			CDO1	FOXE1	C17orf85	DIAPH2	RN7SL556P	FOXE1	
							C8orf34	OPALIN																	MRI1			CDX1	FPGS	SHPK	DKC1	ZNF815P	FPGS	
							ZNF572	OPN4																	FBXW9			CETN3	FXN	ASPA	DLG3	MIR589	FXN	
							FAM92A1	HOGA1																	ALKBH7			CHD1	NR5A1	OR1E1	DMD	snoU13|ENSG00000238394.1	NR5A1	
							NDUFAF6	CHCHD1																	WDR83			CKMT2	FUT7	OR1D4	DNASE1L1	ZNF890P	FUT7	
							ABRA	MSS51																	ZNF414			ERCC8	GALT	RN7SL605P	DRP2	RNF216P1	GALT	
							TMEM71	TTC18																	ELOF1			CLTB	GAS1	MIR1253	TSC22D3	AP5Z1	GAS1	
							ADHFE1	PIK3AP1																	DOT1L			CRHBP	NR6A1	RN7SL608P	DUSP9	snoU13|ENSG00000238781.1	NR6A1	
							UBXN2B	MORN4																	FBN3			HAPLN1	GCNT1	snoU13|ENSG00000239024.1	EDA	RN7SKP130	GCNT1	
							DCAF4L2	ZFYVE27																	ZNF559			CSF1R	B4GALT1	RN7SL33P	EFNB1	snoU13|ENSG00000238857.1	B4GALT1	
							RALYL	COMTD1																	KISS1R			CSF2	GLDC	SNORD91A	EIF1AX	MIR4648	GLDC	
							RDH10	FRA10AC1																	CREB3L3			CSNK1A1	GLE1	SNORD91B	ELF4	GRIFIN	GLE1	
							C8orf56	C10orf32																	LMNB2			CSNK1G3	GNG10	RN7SL624P	ELK1	MIR4655	GNG10	
							ANKRD46	CALHM3																	RAX2			VCAN	GOLGA1	TLCD2	EMD	ELFN1	GOLGA1	
							FAM84B	ANAPC16																	MUM1			CTNNA1	GOLGA2	snoU13|ENSG00000238946.1	F8	UNCX	GOLGA2	
							C8orf37	ADAMTS14																	MPND			CTNND2	RAPGEF1	RN7SL105P	F9	MIR339	RAPGEF1	
							VPS13B	C10orf129																	ATG4D			DAB2	GRIN1	BHLHA9	ACSL4	COX19	GRIN1	
							SLC7A13	SAMD8																	ATCAY			DAP	GSN	MIR3183	FANCB	FAM20C	GSN	
							FAM91A1	LIPJ																	MBD3L1			DBN1	HNRNPK	TIMM22	FGD1	AOC1	HNRNPK	
							MCMDC2	DYDC1																	MIDN			DMXL1	HSD17B3	DBIL5P	FGF13	ACHE	HSD17B3	
							CLVS1	EIF5AL1																	DCAF15			DHFR	DNAJA1	DOC2B	FHL1	ACTB	DNAJA1	
							SBSPON	HECTD2																	GADD45GIP1			DIAPH1	HSPA5	AANAT	FIGF	ADCY1	HSPA5	
							CNBD1	FGFBP3																	ZNF799			DNAH5	TNC	ABR	FLNA	ADCYAP1R1	TNC	
							SLC30A8	USP54																	C19orf52			DOCK2	IARS	ACACA	FMR1	AEBP1	IARS	
							COL22A1	SLC35G1																	ZNF700			DPYSL3	IFNA1	ACADVL	AFF2	AHR	IFNA1	
							SNX31	FUT11																	ZNF439			DRD1	IFNA2	ASIC2	CENPI	AKR1B1	IFNA2	
							TMEM64	OIT3																	DPP9			SLC26A2	IFNA4	ACLY	G6PD	AMPH	IFNA4	
							SDR16C5	ZCCHC24																	R3HDM4			HBEGF	IFNA5	ACOX1	GABRA3	AOAH	IFNA5	
							C8orf47	UNC5B																	TMEM259			DUSP1	IFNA7	ACTG1	GABRE	AQP1	IFNA7	
							ATP6V0D2	STOX1																	TPGS1			EBF1	IFNA8	ADORA2B	GAGE2C	ARF5	IFNA8	
							YTHDF3	C10orf35																	CRB3			EFNA5	IFNA10	AP2B1	GATA1	ASL	IFNA10	
							C8orf46	TYSND1																	REEP6			EGR1	IFNA13	ALDH3A1	GDI1	ASNS	IFNA13	
							REXO1L1	TBATA																	PEX11G			ETF1	IFNA14	ALDH3A2	GJB1	AZGP1	IFNA14	
							NSMCE2	ATOH7																	ZNF561			F2R	IFNA16	ALDOC	GK	OPN1SW	IFNA16	
							TRIQK	REEP3																	OLFM2			F2RL1	IFNA17	ALOX12	GLA	BLVRA	IFNA17	
							DPY19L4	JMJD1C																	MUC16			F2RL2	IFNA21	ALOX12B	GPC3	BPGM	IFNA21	
							FBXO43	CALHM1																	FDX1L			F12	IFNB1	ALOX15	GLRA2	BRAF	IFNB1	
							PPP1R42	FFAR4																	NACC1			FABP6	IFNW1	ALOX15B	GLUD2	CACNA2D1	IFNW1	
							KLHL38	DUPD1																	IZUMO4			FAT2	IL11RA	AOC2	GPM6B	CALCR	IL11RA	
							RSPO2	LIPM																	SCAMP4			FBN2	JAK2	BIRC5	CXCR3	CALD1	JAK2	
							CA13	CYP26C1																	ADAT3			FGF1	LCN1	APOH	LPAR4	CAMK2B	LCN1	
							XKR9	LRIT2																	EVI5L			FGFR4	LCN2	ARL4D	GPR34	CASP2	LCN2	
							C8orf87	SH2D4B																	CCDC151			FOXD1	LMX1B	ARHGDIA	GRIA3	CAV1	LMX1B	
							RBM12B	C10orf99																	ZNF653			FOXI1	MLLT3	ARRB2	GUCY2F	CAV2	MLLT3	
							GDF6	SLC16A12																	GRIN3B			FLT4	MTAP	ASGR1	HSD17B10	KRIT1	MTAP	
							C8orf59	CC2D2B																	MRPL54			FYB	MUSK	ASGR2	HCCS	CCT6A	MUSK	
							SAMD12	GOLGA7B																	RAVER1			GABRA1	NCBP1	ATP1B2	HCFC1	CD36	NCBP1	
							MIR30B	C10orf105																	OR7D4			GABRA6	NDUFA8	ATP2A3	HMGB3	CDK6	NDUFA8	
							MIR30D	C10orf62																	OR7G1			GABRB2	NDUFB6	ATP5G1	HNRNPH2	CFTR	NDUFB6	
							ZNF704	C10orf55																	OR1M1			GABRG2	NFIB	ATP6V0A1	HPRT1	CHN2	NFIB	
							SNHG6	IFIT1B																	C19orf70			GABRP	NFIL3	BLMH	HTR2C	CHRM2	NFIL3	
							FABP9	MIR146B																	MBD3L2			GDF9	NFX1	BRCA1	IDH3G	AP1S1	NFX1	
							FABP12	FAM25A																	TRAPPC5			GDNF	NINJ1	C1QBP	IDS	CLCN1	NINJ1	
							FER1L6	LIPK																	PCP2			GFRA3	NOTCH1	FMNL1	IGBP1	COL1A2	NOTCH1	
							MIR548A3	LIPN																	ZNF441			GHR	NPR2	CA4	IGSF1	CPA1	NPR2	
							MIR599	MIR607																	ZNF491			GLRA1	NTRK2	CACNB1	IL2RG	CPA2	NTRK2	
							OC90	NUTM2A																	ZNF440			GLRX	ROR2	CACNG1	IL3RA|ENSG00000185291.6	CLDN4	ROR2	
							MIR875	NUTM2D																	SWSAP1			GM2A	ODF2	CD7	IL9R|ENSG00000124334.12	CLDN3	ODF2	
							TCF24	AGAP5																	TMIGD2			GRK6	OMD	CD68	IL13RA1	CUX1	OMD	
							LRRC69	SFTPA2																	TNFAIP8L1			GPX3	OGN	CD79B	IL13RA2	CYP3A7	OGN	
							MIR1205	TLX1NB																	ZNF57			GRIA1	ORM1	CDC6	IRAK1	CYP3A5	ORM1	
							MIR1207	C10orf131																	JSRP1			NR3C1	ORM2	CDC27	KAL1	CYP51A1	ORM2	
							PVT1	KLLN																	MOB3A			GRM6	PAEP	CDK3	KCND1	DGKB	PAEP	
							MIR2053	MIR1307																	MFSD12			GTF2H2	PAPPA	CHAD	L1CAM	DDC	PAPPA	
							MIR1208	MIR3157																	GIPC3			GZMA	PAX5	CHD3	LAMP2	DFNA5	PAX5	
							MIR3686																		NDUFA11			HARS	PDCL	CHRNB1	PRICKLE3	DLD	PDCL	
							MIR548AA1																		MISP			HEXB	PBX3	CHRNE	SH2D1A	DLX5	PBX3	
							MIR3150B																		PLK5			HK3	PCSK5	CLTC	MAGEA1	DLX6	PCSK5	
							MIR3610																		C2CD4C			HMGCR	PGM5	CCR7	MAGEA2	DYNC1I1	PGM5	
							MIR378D2																		ZNF358			HMGCS1	PHF2	CNP	MAGEA3	DPP6	PHF2	
							MIR4662B																		ZNF560			HMMR	PPP2R4	COL1A1	MAGEA4	SLC26A3	PPP2R4	
							MIR4663																		ZNF563			HNRNPAB	PPP3R2	COX10	MAGEA6	EGFR	PPP3R2	
							MIR4471																		TICAM1			HNRNPH1	PPP6C	COX11	MAGEA8	ELN	PPP6C	
							MIR4470																		ZNRF4			HRH2	PRKACG	CPD	MAGEA9	EN2	PRKACG	
							MIR5680																		ZNF558			HSD17B4	PRSS3	CLDN7	MAGEA10	EPHA1	PRSS3	
							MIR5194																		C19orf25			HSPA9	PSMB7	CRHR1	MAGEA11	EPHB4	PSMB7	
							MIR5708																		ATP8B3			NDST1	PSMD5	CRK	MAGEA12	EPHB6	PSMD5	
							MIR5681A																		DIRAS1			HTR4	PTCH1	CRYBA1	MAGEB1	EPO	PTCH1	
																									ZNF555			IK	PTGDS	CSF3	MAGEB2	ETV1	PTGDS	
																									ZNF846			IL3	PTGS1	CSH1	MAGEB3	EZH2	PTGS1	
																									OR7D2			IL4	PTPN3	CSH2	MAGEB4	FLNC	PTPN3	
																									ZNF791			IL5	PTPRD	CSHL1	MAOB	GARS	PTPRD	
																									ZNF564			IL6ST	RAD23B	CSNK1D	MCF2	GBAS	RAD23B	
																									ZNF709			IL7R	RALGDS	SLC25A10	MECP2	GBX1	RALGDS	
																									ZNF433			IL9	RFX3	CTNS	CD99|ENSG00000002586.13	GCK	RFX3	
																									PRR22			IL12B	RGS3	CYB561	MID1	GHRHR	RGS3	
																									ANKRD24			IL13	RLN1	ACE	FOXO4	GLI3	RLN1	
																									ZNF627			IRF1	RLN2	DDX5	MPP1	GNA12	RLN2	
																									DAND5			ISL1	RORB	DHX8	CITED1	GNAI1	RORB	
																									C19orf26			ITGA2	RPL7A	DLG4	MSN	GNB2	RPL7A	
																									C19orf38			ITK	RPL12	DLX3	MTCP1	GNGT1	RPL12	
																									KANK3			KCNN2	RPS6	DLX4	MTM1	GPR22	RPS6	
																									TINCR			TNPO1	CCL19	DNAH9	NAP1L2	GPER	CCL19	
																									CATSPERD			LECT2	CCL21	DPH1	NAP1L3	GRB10	CCL21	
																									ACTL9			LIFR	SET	DRG2	NDP	GRM3	SET	
																									OR2Z1			LMNB1	SH3GL2	DUSP3	NHS	GRM8	SH3GL2	
																									C19orf82			LNPEP	SLC1A1	DVL2	NONO	GTF2I	SLC1A1	
																									ZNF763			LOX	SMARCA2	EFNB3	GPR143	GUSB	SMARCA2	
																									C19orf77			LTC4S	SNAPC3	EIF4A1	TBC1D25	HGF	SNAPC3	
																									SLC25A41			CD180	SNAPC4	EIF5A	OCRL	HIP1	SNAPC4	
																									MBD3L5			SMAD5	SPTAN1	ENO3	OPHN1	MNX1	SPTAN1	
																									ODF3L2			MAN2A1	STXBP1	ERBB2	OTC	HNRNPA2B1	STXBP1	
																									ADAMTSL5			MAP1B	SURF1	ERN1	P2RY4	HOXA1	SURF1	
																									CLEC4G			MCC	SURF2	ETV4	PAK3	HOXA2	SURF2	
																									PALM3			MEF2C	SURF4	EVI2B	CDK16	HOXA3	SURF4	
																									TMPRSS9			MAP3K1	MED22	EVPL	PDHA1	HOXA4	MED22	
																									C19orf35			MFAP3	SURF6	EZH1	PDK3	HOXA5	SURF6	
																									HSD11B1L			MGAT1	SYK	BPTF	CFP	HOXA6	SYK	
																									C19orf45			MOCS2	TAL2	FASN	PFKFB1	HOXA7	TAL2	
																									TMEM205			MSH3	TEK	FDXR	PGK1	HOXA9	TEK	
																									C3P1			MSX2	TESK1	FGF11	PHEX	HOXA10	TESK1	
																									ZNF788			MTRR	TGFBR1	FOXJ1	PHKA1	HOXA11	TGFBR1	
																									OR7G2			MYO10	TLE1	FLII	PHKA2	AGFG2	TLE1	
																									OR7G3			NAIP	TLN1	FLOT2	PIGA	HSPB1	TLN1	
																									MEX3D			NDUFA2	TLR4	GAST	PIN4	HUS1	TLR4	
																									PRSS57			NDUFS4	TMOD1	GAA	PLP1	ICA1	TMOD1	
																									CTXN1			NEUROG1	TPM2	GALK1	PLP2	IGFBP1	TPM2	
																									MIR181C			NPM1	TRAF1	GCGR	PLS3	IGFBP3	TRAF1	
																									MIR199A1			NPR3	TRAF2	KAT2A	PLXNB3	IL6	TRAF2	
																									MIR23A			OXCT1	TSC1	GFAP	POLA1	IMPDH1	TSC1	
																									MIR27A			PAM	TTF1	GH1	POU3F4	INSIG1	TTF1	
																									PLIN5			PCDH1	TXN	GH2	PPEF1	IRF5	TXN	
																									MIR181D			PCDHGC3	TYRP1	GIP	PRKX	ITGB8	TYRP1	
																									ARRDC5			PCSK1	VAV2	GNGT2	PRPS1	KCND2	VAV2	
																									C19orf67			PDE4D	VCP	GP1BA	PRPS2	KCNH2	VCP	
																									MBD3L4			PDE6A	VLDLR	UTS2R	PRRG1	KEL	VLDLR	
																									MBD3L3			PDGFRB	CORO2A	GPS1	PSMD10	LAMB1	CORO2A	
																									PLIN4			PFDN1	XPA	GPS2	RBBP7	LEP	XPA	
																									ZNF812			PGGT1B	ZFP37	GRB2	OPN1LW	LFNG	ZFP37	
																									ZNF878			PIK3R1	ZNF79	GRB7	RENBP	LIMK1	ZNF79	
																									ZGLP1			PITX1	ZNF189	GRN	RP2	LRCH4	ZNF189	
																									C19orf71			PMCHL1	ZFAND5	GRIN2C	RPGR	MCM7	ZFAND5	
																									MIR3187			PMCHL2	NR4A3	GUCY2D	RPL10	DNAJB9	NR4A3	
																									MIR4322			POU4F3	BRD3	H3F3B	RPL39	MDH2	BRD3	
																									TGFBR3L			PPIC	NUP214	HCRT	RPL36A	MEOX2	NUP214	
																									ZNF177			PPP2R2B	LHX3	HIC1	RPS6KA3	MEST	LHX3	
																									MIR4746			PRKAA1	GFI1B	HLF	RS1	MET	GFI1B	
																									MIR5695			MAPK9	PIP5K1B	HOXB5	SAT1	MKLN1	PIP5K1B	
																									MIR4999			PRLR	RECK	HOXB6	SCML1	NUDT1	RECK	
																									MIR5684			PROP1	IKBKAP	HOXB7	TRAPPC2	NDUFA4	IKBKAP	
																									MIR5589			PTGER4	CDC14B	HOXB8	SH3BGRL	NDUFA5	CDC14B	
																												RAD1	TMEFF1	HOXB9	SHOX|ENSG00000185960.8	NDUFB2	TMEFF1	
																												RAD17	SSNA1	ICAM2	SLC6A8	NOS3	SSNA1	
																												RARS	EDF1	ICT1	SLC16A2	CNOT4	EDF1	
																												RASA1	CTNNAL1	IFI35	SMARCA1	NPY	CTNNAL1	
																												RASGRF2	MPDZ	IGFBP4	SMS	NPTX2	MPDZ	
																												RPS14	FBP2	FOXK2	SOX3	NRCAM	FBP2	
																												RPS23	DPM2	ITGA2B	SSR4	NRF1	DPM2	
																												SDHA	FUBP3	ITGA3	SSX1	OCM2	FUBP3	
																												SEPP1	PRPF4	ITGAE	SSX2	OGDH	PRPF4	
																												SGCD	KLF4	ITGB3	SSX5	ORC5	KLF4	
																												SKP2	GTF3C5	ITGB4	SSX4	SERPINE1	GTF3C5	
																												SLC1A3	CER1	JUP	CDKL5	PAX4	CER1	
																												SLC6A3	LHX2	KCNJ2	SUV39H1	PCOLCE	LHX2	
																												SLC6A7	PLAA	KCNJ12	VAMP7|ENSG00000124333.10	PDE1C	PLAA	
																												SLC9A3	GRHPR	KCNJ16	SYN1	PDGFA	GRHPR	
																												SLC12A2	FAM189A2	KPNA2	SYP	PDK4	FAM189A2	
																												SLC34A1	TJP2	KRT9	TAF1	SLC26A4	TJP2	
																												SLC22A4	MED27	KRT10	TAZ	PEX1	MED27	
																												SLC22A5	PTGES	KRT12	SERPINA7	CDK14	PTGES	
																												SLIT3	GABBR2	KRT13	TBL1X	PGAM2	GABBR2	
																												SMN1	GDA	KRT14	DYNLT3	ABCB1	GDA	
																												SMN2	GNA14	KRT15	TFE3	ABCB4	GNA14	
																												SNCB	RALGPS1	KRT16	TIMP1	PIK3CG	RALGPS1	
																												SNX2	ADAMTSL2	KRT17	TSPAN7	PIP	ADAMTSL2	
																												SPARC	TRIM14	KRT19	TMSB4X	PMS2P3	TRIM14	
																												SPINK1	MELK	KRT31	TRO	PMS2	MELK	
																												SPOCK1	RUSC2	KRT32	TRPC5	PODXL	RUSC2	
																												SRD5A1	PPP1R26	KRT33A	UBA1	POLD2	PPP1R26	
																												STK10	SEC16A	KRT33B	UBE2A	POLR2J	SEC16A	
																												TAF7	ZBTB5	KRT34	SLC35A2	PON2	ZBTB5	
																												TAF9	KIAA0020	KRT35	KDM6A	PON3	KIAA0020	
																												TARS	TNFSF15	LASP1	VBP1	POR	TNFSF15	
																												TBCA	PTBP3	LGALS3BP	WAS	PPIA	PTBP3	
																												TCF7	GNE	LHX1	XG	PPP1R3A	GNE	
																												ZNF354A	SH2D3C	LIG3	XK	PRKAR1B	SH2D3C	
																												TCOF1	RCL1	LLGL2	XPNPEP2	PRKAR2B	RCL1	
																												TERT	TOPORS	LLGL1	ZFX	PRSS1	TOPORS	
																												NR2F1	RABEPK	LPO	ZIC3	RELN	RABEPK	
																												TGFBI	SIGMAR1	NBR1	ZNF711	PSMA2	SIGMAR1	
																												THBS4	LAMC3	MAFG	ZNF182	PSMC2	LAMC3	
																												TRIO	TUBB4B	MAPT	ZNF41	PSPH	TUBB4B	
																												TTC1	UBAC1	ADAM11	ZNF75D	TAS2R38	UBAC1	
																												UBE2B	OLFM1	MAP3K3	RNF113A	PTN	OLFM1	
																												UBE2D2	ZER1	MEOX1	ZNF185	PTPN12	ZER1	
																												VDAC1	CREB3	MFAP4	ZXDA	PTPRN2	CREB3	
																												WNT8A	UNC13B	MLLT6	GTPBP6|ENSG00000178605.8	PTPRZ1	UNC13B	
																												XRCC4	SEMA4D	MNT	HDHD1	PURB	SEMA4D	
																												ZNF131	ANP32B	MPO	AKAP17A|ENSG00000197976.6	RAC1	ANP32B	
																												ST8SIA4	AGPAT2	MPP2	PNPLA4	RALA	AGPAT2	
																												REEP5	SPTLC1	MPP3	ZRSR2	RARRES2	SPTLC1	
																												SERF1A	POMT1	TRIM37	USP11	RFC2	POMT1	
																												NME5	SMC2	MYH1	USP9X	RHEB	SMC2	
																												ENC1	DMRT2	MYH2	RBM10	RP9	DMRT2	
