cytoband	2q37.1	2q22.1	19p13.3	11q25	13q14.2	4q35.2	10q23.31	3p14.2	20p12.1	6q26	11q23.3	5q12.1	15q21.1	16q23.1	17q25.3	1p36.23	14q32.31	22q13.32	7q34	18q21.2	4q22.1	Xq21.33	13q12.11	1p13.2	8p23.1	16q11.2	Xp11.3	11p15.1	17p12	19q13.33	4q21.3	6p24.2	4p16.3	8p23.3	21q11.2	5q35.2	3p22.1	
																SMIM1														ZNF582								
																RNF207														ZNF583								
																TMEM82														CDC42EP5								
																TRNP1														ZNF836								
																CD164L2														ZNF610								
																HES3														ZNF320								
																PRAMEF12														ZNF497								
																PRAMEF21														ZNF550								
																PRAMEF8														ZNF579								
																PRAMEF17														ZNF114								
																PRAMEF4														ZNF525								
																PRAMEF13														SPACA4								
																SH2D5														NLRP7								
																NCMAP														ZNF584								
																PRAMEF3														ZSCAN4								
																LDLRAD2														NLRP11								
																MIR200A														TMEM86B								
																MIR200B														PRR24								
																MIR34A														ZNF549								
																PRAMEF11														IL4I1								
																PRAMEF6														SSC5D								
																MINOS1														ZNF547								
																ANKRD65														ZIK1								
																PRAMEF7														ZNF776								
																MIR429														ZSCAN1								
																TMEM88B														TPRX1								
																C1orf233														MAMSTR								
																C1orf200														IZUMO1								
																PRAMEF19														EMC10								
																PRAMEF20														KLK9								
																LACTBL1														SIGLECL1								
																PRAMEF22														ZNF615								
																PRAMEF15														ZNF841								
																PRAMEF16														VSTM1								
																CDK11A														TMEM150B								
																SLC35E2B														FAM71E2								
																C1orf234														VN1R2								
																OR4F29														VN1R4								
																MIR4253														NLRP9								
																MIR1273D														MYPOP								
																MIR4252														NANOS2								
																MIR3917														C19orf81								
																MIR3675														ZNF677								
																APITD1														RFPL4A								
																MIR4419A														ZSCAN5B								
																MIR4425														ZSCAN22								
																MIR4689														ZNF530								
																MIR4418														DNAAF3								
																MIR4417														LILRA5								
																MIR378F														IGFL1								
																MIR5697														ZNF773								
																														IGFL3								
																														ZNF808								
																														ZNF470								
																														ZNF749								
																														ZNF324B								
																														ZNF880								
																														ZNF772								
																														IGLON5								
																														MIRLET7E								
																														MIR125A								
																														MIR150								
																														MIR99B								
																														TARM1								
																														MIR371A								
																														MIR372								
																														MIR373								
																														IGFL4								
																														DPRX								
																														ASPDH								
																														MIR498								
																														MIR520E								
																														MIR519E								
																														MIR520F								
																														MIR519C								
																														MIR520A								
																														MIR526B								
																														MIR519B								
																														MIR525								
																														MIR523								
																														MIR518F								
																														MIR520B								
																														MIR518B								
																														MIR526A1								
																														MIR520C								
																														MIR518C								
																														MIR524								
																														MIR517A								
																														MIR519D								
																														MIR520D								
																														MIR517B								
																														MIR520G								
																														MIR516B2								
																														MIR526A2								
																														MIR518E								
																														MIR518A1								
																														MIR518D								
																														MIR516B1								
																														MIR518A2								
																														MIR517C								
																														MIR520H								
																														MIR522								
																														MIR519A1								
																														MIR527								
																														MIR516A1								
																														MIR516A2								
																														MIR519A2								
																														SBK2								
																														CCDC61								
																														SHISA7								
																														MIR769								
																														SIGLEC14								
																														SGK110								
																														BSPH1								
																														ZNF587B								
																														MIR1323								
																														MIR3191								
																														PPP5D1								
																														ZNF865								
																														MIR4754								
																														MIR4752								
